city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
BIXI Montréal,Bike Share Toronto,0.9215137271553856,0.9037562173834134,0.9443659711175505,CA,CA
BIXI Montréal,Vélib Paris,0.761496797551088,0.9147453278890838,0.9410995662867996,CA,FR
BIXI Montréal,Vélo'v Lyon,0.9085126452295431,0.9174684290508396,0.9035058118257293,CA,FR
BIXI Montréal,VéLÔ Toulouse,0.7755392679216457,0.903363503008965,0.7951566565849592,CA,FR
BIXI Montréal,Le VélO Bordeaux,0.7758331564045623,0.9301360299194689,0.8662647580386262,CA,FR
BIXI Montréal,Le Vélo Marseille,0.8123049124109649,0.9435242952444656,0.8594737144887346,CA,FR
BIXI Montréal,Santander London,0.7821699968677611,0.9248809903279377,0.5209199745918676,CA,GB
BIXI Montréal,Beryl Bournemouth,0.8491640175372375,0.7350749740316124,0.7553878022235564,CA,GB
BIXI Montréal,Beryl Manchester,0.7948742201734111,0.8098872372390818,0.8242574544239505,CA,GB
BIXI Montréal,Nextbike Berlin,0.9201131707616936,0.8308237506683609,0.8047675530798749,CA,DE
BIXI Montréal,Swabi Augsburg,0.9178854252406186,0.8466333733956309,0.8838760414708741,CA,DE
BIXI Montréal,Nextbike Praha,0.8054339940947131,0.8652914353606314,0.8474631228751822,CA,CZ
BIXI Montréal,BiciMAD Madrid,0.8250053225621834,0.9055564987739511,0.7333556162653624,CA,ES
BIXI Montréal,Bicing Barcelona,0.7275091150974576,0.9432793194617223,0.6534229932149106,CA,ES
BIXI Montréal,Valenbisi València,0.7437565586467302,0.9220235164158161,0.8622074066574489,CA,ES
BIXI Montréal,BikeMi Milan,0.7719772365874137,0.9572211691189495,0.6982663337693588,CA,IT
BIXI Montréal,Villo Bruxelles,0.6901629616919098,0.9352837526587844,0.4869779684845894,CA,BE
BIXI Montréal,Velo Antwerpen,0.6774992343145603,0.9122202938982158,0.4330646653957624,CA,BE
BIXI Montréal,Metrorower,0.8958570001782082,0.854017412417799,0.8119660454105083,CA,PL
BIXI Montréal,Mevo Gdańsk,0.7348918130230477,0.8452867559022279,0.8180833933402484,CA,PL
BIXI Montréal,Velospot CH,0.657067534161662,0.8622394562165904,0.8511361045892767,CA,CH
BIXI Montréal,Ecobici Ciudad de Mexico,0.7167741708030717,0.9664905029825223,0.3738640648063276,CA,MX
BIXI Montréal,Ecobici Buenos Aires,0.7143308602107389,0.9374965790511554,0.5387349708465282,CA,AR
BIXI Montréal,Bike Itaú Rio,0.8142835625910101,0.8662347211023445,0.7759366186895392,CA,BR
Bike Share Toronto,Vélib Paris,0.7973171479641723,0.8321061984075903,0.9565550181482592,CA,FR
Bike Share Toronto,Vélo'v Lyon,0.922373023502887,0.9434699253337732,0.900184338832199,CA,FR
Bike Share Toronto,VéLÔ Toulouse,0.8146318930612317,0.9607613611654898,0.8236361293180273,CA,FR
Bike Share Toronto,Le VélO Bordeaux,0.8006241430345574,0.8613116246549983,0.8511833438225932,CA,FR
Bike Share Toronto,Le Vélo Marseille,0.8417758455472109,0.888222686958213,0.8526825707874981,CA,FR
Bike Share Toronto,Santander London,0.8231770360167618,0.9576963431950958,0.5106368193562926,CA,GB
Bike Share Toronto,Beryl Bournemouth,0.8386819479918514,0.8060285345144086,0.7679649302508907,CA,GB
Bike Share Toronto,Beryl Manchester,0.8407939957035699,0.8898357110156857,0.8320807056230627,CA,GB
Bike Share Toronto,Nextbike Berlin,0.8974888857365133,0.910342968438658,0.8105197951818788,CA,DE
Bike Share Toronto,Swabi Augsburg,0.8937173522222754,0.929663481856749,0.9002585464295718,CA,DE
Bike Share Toronto,Nextbike Praha,0.7603418636658872,0.9474545542271796,0.8073120672942893,CA,CZ
Bike Share Toronto,BiciMAD Madrid,0.8648184864001636,0.9632301694228387,0.7422502306079146,CA,ES
Bike Share Toronto,Bicing Barcelona,0.7657077373504626,0.9429120273832627,0.6500327524672996,CA,ES
Bike Share Toronto,Valenbisi València,0.7824132514665086,0.8520244437276495,0.876193193274078,CA,ES
Bike Share Toronto,BikeMi Milan,0.810266970097396,0.9173433168690911,0.6924649307409961,CA,IT
Bike Share Toronto,Villo Bruxelles,0.7314398095970319,0.9029083571142155,0.4761941979450536,CA,BE
Bike Share Toronto,Velo Antwerpen,0.7134977948759303,0.949234876421608,0.4234721110407832,CA,BE
Bike Share Toronto,Metrorower,0.8572589872447667,0.9230873983225039,0.7807455665492316,CA,PL
Bike Share Toronto,Mevo Gdańsk,0.6943862478514681,0.9195716371696073,0.802645921789208,CA,PL
