city_a,city_b,median,lower,upper,ci_width
Villo Bruxelles,Velo Antwerpen,0.8493216448322237,0.7289029381341202,0.9458085639762894,0.21690562584216921
Villo Bruxelles,Ecobici Buenos Aires,0.8487040437237802,0.6728614900237698,0.9467568869898103,0.2738953969660405
BIXI Montréal,Metrorower,0.8482228413915487,0.8047435186413947,0.8920940725979262,0.08735055395653146
Beryl Manchester,Swabi Augsburg,0.8448177213469463,0.6825553537533037,0.9240900483228879,0.2415346945695842
Bike Share Toronto,BiciMAD Madrid,0.842305523474367,0.6789414330862905,0.9125574212738927,0.2336159881876022
Citi Bike NYC,Bike Share Toronto,0.8422329989236879,0.6713699247279785,0.9123962432962178,0.2410263185682393
Bay Wheels SF,Swabi Augsburg,0.8401613640327619,0.6670731967435976,0.9301186960645299,0.26304549932093235
Nextbike Praha,Velospot CH,0.8392295752097938,0.8106594771940366,0.8804365290152951,0.06977705182125848
Capital DC,BIXI Montréal,0.8382382171448359,0.7832923752476033,0.8917248108934752,0.1084324356458719
Vélo'v Lyon,BikeMi Milan,0.8372545567183243,0.6034758354868779,0.933304966519235,0.3298291310323571
Le Vélo Marseille,Metrorower,0.8369469582668374,0.6678393722995973,0.895421939280874,0.22758256698127666
Vélo'v Lyon,Metrorower,0.8342137619025296,0.7650170224585746,0.8949761804565542,0.12995915799797964
Nextbike Berlin,BiciMAD Madrid,0.8334711573025602,0.6441386369505504,0.8794908032244603,0.23535216627390987
Le Vélo Marseille,Beryl Bournemouth,0.8325948337041378,0.6722867624403908,0.9207654915587785,0.24847872911838775
Nextbike Praha,Bike Itaú Rio,0.8316269813674213,0.6912157608632642,0.8782705025061723,0.18705474164290814
Le VélO Bordeaux,Bike Itaú Rio,0.8313770836338017,0.6775300288927839,0.9150747362522298,0.23754470735944588
Santander London,Ecobici Buenos Aires,0.8310248934905735,0.6756118114495844,0.9239886989724111,0.24837688752282672
Santander London,Villo Bruxelles,0.830525474617654,0.7128057859731421,0.9016062061537651,0.18880042018062293
Le Vélo Marseille,Bike Itaú Rio,0.8301043753705458,0.6551268420754777,0.914325086637522,0.2591982445620443
Capital DC,Velospot CH,0.8296205416621683,0.7820877115702666,0.8780040245058041,0.09591631293553748
Beryl Manchester,Velo Antwerpen,0.8255634640499143,0.6726418863586465,0.9206424489300693,0.24800056257142278
Capital DC,Vélo'v Lyon,0.8243570671865224,0.7660108977128781,0.8748887449524475,0.10887784723956939
Bluebikes Boston,Beryl Manchester,0.8240776681071027,0.6614090296602932,0.9101279201850689,0.2487188905247757
Metrorower,Velospot CH,0.8236012264982705,0.7777253274069189,0.8699399441430573,0.0922146167361384
VéLÔ Toulouse,Ecobici Buenos Aires,0.8235953221166271,0.6445326649756233,0.9457622190948172,0.30122955411919383
Villo Bruxelles,Ecobici Ciudad de Mexico,0.8199784846552407,0.6723743236521523,0.8813115829656982,0.2089372593135459
Vélo'v Lyon,Valenbisi València,0.8181996441578604,0.5792581451422115,0.8969252698447565,0.317667124702545
Bluebikes Boston,VéLÔ Toulouse,0.81818741195443,0.6683467914968927,0.917234190493404,0.24888739899651136
Beryl Bournemouth,Metrorower,0.8181106588213383,0.6305355815120989,0.9083917602686642,0.2778561787565653
VéLÔ Toulouse,BiciMAD Madrid,0.8177662307579616,0.6736829620278356,0.9351001864895857,0.2614172244617501
Bay Wheels SF,Beryl Bournemouth,0.8175788705123035,0.6719833084229122,0.9304510784971229,0.25846777007421073
Le VélO Bordeaux,Swabi Augsburg,0.8165982134652214,0.6729983315686048,0.896361654331765,0.22336332276316018
Citi Bike NYC,VéLÔ Toulouse,0.8162960618064584,0.6891624889157117,0.8865555138552937,0.197393024939582
Vélo'v Lyon,Nextbike Praha,0.8158371919861426,0.7495753007617401,0.859915932715418,0.11034063195367794
Bay Wheels SF,Bluebikes Boston,0.8156512319065139,0.6698969943024683,0.9116093002993861,0.24171230599691784
Bay Wheels SF,Le VélO Bordeaux,0.8148076253293106,0.6771500595952868,0.9134157182277067,0.23626565863241988
Citi Bike NYC,Nextbike Berlin,0.8136233418829306,0.6561516386354858,0.8876163611155211,0.23146472248003536
Vélo'v Lyon,VéLÔ Toulouse,0.8133658896113056,0.663951762190608,0.9440055348494334,0.28005377265882536
Capital DC,Le Vélo Marseille,0.8127089981790361,0.6422124127878294,0.8626513139561461,0.22043890116831677
BIXI Montréal,BiciMAD Madrid,0.8114562896598868,0.6402393158965053,0.868751277951138,0.22851196205463276
Biketown Portland,Velo Antwerpen,0.8111970208595414,0.6403890975852824,0.9204903666359435,0.28010126905066113
Bike Share Toronto,Metrorower,0.8108615143200769,0.6955852369775787,0.8862799134145952,0.19069467643701654
